Strain,For_profit_price,Non_Profit_price,Genome_Sequence_Availability,Deposited As,Strain_Designation,BSL,Product Format,Culture Medium,Growth_condition,Storage_conditions,Antibiotic Resistance,Comments,Application,Product Sheet,,,,
Flavobacterium johnsoniae (Stanier) Bernardet et al. (ATCC 17061),$402.00 ,$341.70 ,seqeunce available,Cytophaga johnsonae Stanier,"MYX.1.1.1 [DSM 2064, LMG 1341, NCIB 11054]",1,freeze-dried,ATCC  112: Van Niel's yeast agar,"Temperature: 30Celsius 
Atmosphere: Aerobic",2Celsius  to 8Celsius,NA,NA,NA,https://www.atcc.org/~/ps/17061.ashx,,,,
Salmonella enterica subsp. enterica (ex Kauffmann and Edwards) Le Minor and Popoff serovar Poona (ATCC BAA-1673),$376.00 ,$319.60 ,seqeunce available,NA,MZ1481,2,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Emerging infectious disease research,https://www.atcc.org/~/ps/BAA-1673.ashx,,,,
Lactobacillus gasseri Lauer and Kandler (ATCC 33323),$376.00 ,$319.60 ,seqeunce available,NA,DSM 20243 [63 AM],1,freeze-dried,ATCC  416: Lactobacilli MRS Agar/Broth,"Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/33323.ashx,,,,
Mycoplasma pneumoniae  (ATCC 29342D),$336.00 ,$336.00 ,NA,Mycoplasma pneumoniae Somerson et al.,Genomic DNA from Mycoplasma pneumoniae strain M129-B7 [ATCC 29342],1,frozen Concentration: 1 ng/uLVolume:  50 uLTotal DNA:  50 ng,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/29342D.ashx,,,,
Pseudoalteromonas atlantica (Akagawa-Matsushita et al.) Gauthier et al. (ATCC BAA-1087D-5),$314.00 ,$314.00 ,seqeunce available,NA,Genomic DNA from Pseudoalteromonas atlantica strain T6c [ATCC BAA-1087],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1087D-5.ashx,,,,
Porphyromonas endodontalis (van Steenbergen et al.) Shah and Collins (ATCC 35406),$402.00 ,$341.70 ,seqeunce available,Bacteroides endodontalis (van Steenbergen et al.) Shah and Collins,Steenbergen HG 370,2,freeze-dried,ATCC  1490: Modified chopped meat medium,Temperature: 37.0Celsius Atmosphere: Anaerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/35406.ashx,,,,
Sulfolobus solfataricus Zillig et al. (ATCC 35092D-5),$314.00 ,$314.00 ,NA,NA,Genomic DNA from Sulfolobus solfataricus strain DSM 1617 [ATCC 35092],1,dried At least 5 ug in 1X TE bufferOD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/35092D-5.ashx,,,,
Stenotrophomonas maltophilia (Hugh) Palleroni and Bradbury (ATCC BAA-2423),$376.00 ,$319.60 ,NA,NA,K279a,2,freeze-dried,ATCC  3: Nutrient agar or nutrient broth,"Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-2423.ashx,,,,
Anaeromyxobacter dehalogenans Sanford et al. (ATCC BAA-259),$376.00 ,$319.60 ,NA,NA,2CP-C,1,frozen,ATCC  2282: R2A Modified for Anaeromyxobacter,"Temperature: 30Celsius 
Atmosphere: Anaerobic gas mixture, 80% N2-20% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Reduces 2-chlorophenol,https://www.atcc.org/~/ps/BAA-259.ashx,,,,
Mycobacterium avium subsp. paratuberculosis (Bergey et al.) Thorel et al. (ATCC BAA-968D-5),$314.00 ,$314.00 ,seqeunce available,NA,Genomic DNA from Mycobacterium avium subsp. paratuberculosis Strain K-10 [ATCC BAA-968],1,dried At least 5 ug in 1X TE bufferOD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-968D-5.ashx,,,,
Legionella pneumophila subsp. pneumophila Brenner et al. (ATCC 33152),$72.00 ,$61.20 ,seqeunce available,NA,Philadelphia-1,2,freeze-dried,ATCC  1099: CYE (Charcoal Yeast Extract) Buffered,Temperature: 37Celsius Atmosphere: 5% CO2,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Media testingEmerging infectious disease researchRespiratory research,https://www.atcc.org/~/ps/33152.ashx,,,,
Akkermansia muciniphila Derrien et al. (ATCC BAA-835),$402.00 ,$341.70 ,seqeunce available,NA,Muc [CIP 107961],1,freeze-dried,"ATCC  44: Brain Heart Infusion Agar/Broth
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic, 100% N2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Degrades mucin,https://www.atcc.org/~/ps/BAA-835.ashx,,,,
Enterococcus faecalis (Andrewes and Horder) Schleifer and Kilpper-Balz (ATCC 700802D-5),$336.00 ,$336.00 ,NA,NA,Genomic DNA from Enterococcus faecalis Strain V583 [ATCC 700802],1,dried At least 5 ug in 1X TE bufferOD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/700802D-5.ashx,,,,
Escherichia coli (Migula) Castellani and Chalmers (ATCC 700928),$402.00 ,$341.70 ,seqeunce available,NA,CFT073 [WAM2267],2,freeze-dried,ATCC  3: Nutrient agar or nutrient broth,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Enteric Research,https://www.atcc.org/~/ps/700928.ashx,,,,
Streptococcus thermophilus Orla-Jensen (ATCC BAA-250),$402.00 ,$341.70 ,seqeunce available,NA,LMG 18311 [NCFB 2393],1,freeze-dried,"ATCC  44: Brain Heart Infusion Agar/Broth
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: 5% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-250.ashx,,,,
Pseudomonas putida (Trevisan) Migula (ATCC 700007),$376.00 ,$319.60 ,seqeunce available,NA,F1 [PpF1],1,freeze-dried,ATCC  3: Nutrient agar or nutrient broth,"Temperature: 30Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,"Degrades benzene,??ethylbenzene,??and toluene",https://www.atcc.org/~/ps/700007.ashx,,,,
Salinibacter ruber Anton et al. (ATCC BAA-605),$402.00 ,$341.70 ,seqeunce available,NA,"DSM 13855 [CECT 5946, M31]",1,frozen,ATCC  2402: Salinibacter ruber medium,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Biotechnology,https://www.atcc.org/~/ps/BAA-605.ashx,,,,
Staphylococcus aureus Rosenbach (ATCC BAA-1707),$402.00 ,$341.70 ,NA,NA,MW2 [HIP08270],2,freeze-dried,ATCC  3: Nutrient agar or nutrient broth,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Methicillin resistant,NA,"Emerging infectious disease research
Drug discovery",https://www.atcc.org/~/ps/BAA-1707.ashx,,,,
Methanococcus voltae Balch and Wolfe (ATCC BAA-1334D-5),$314.00 ,$314.00 ,NA,NA,Genomic DNA from Methanococcus voltae strain A3 [ATCC BAA-1334],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1334D-5.ashx,,,,
Toxoplasma gondii (ATCC 50174D),$314.00 ,$314.00 ,NA,NA,genomic DNA from Toxoplasma gondii strain RH,1,dried Total DNA:?? at least 2 ug in 1X TE bufferOD260/OD280: ??1.6 to 2.0,NA,NA,4Celsius,NA,NA,Food and waterborne pathogen researchOpportunistic pathogen research,https://www.atcc.org/~/ps/50174D.ashx,,,,
Bifidobacterium adolescentis Reuter (ATCC 15703D-5),$336.00 ,$336.00 ,seqeunce available,NA,Genomic DNA from Bifidobacterium adolescentis strain E194a (Variant a) [ATCC 15703],1,dried Total DNA:  At least 5 ug in 1X TE buffer.OD260/OD280:  1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/15703D-5.ashx,,,,
Acinetobacter baumannii (ATCC BAA-1710D-5),$336.00 ,$336.00 ,seqeunce available,NA,Genomic DNA from Acinetobacter baumannii strain AYE (ATCC BAA-1710),1,freeze-dried Total DNA: At least 5 ug in 1X TE bufferOD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1710D-5.ashx,,,,
Acinetobacter sp. (ATCC 27244),$376.00 ,$319.60 ,NA,Herellea vaginicola de Bord,9458,2,freeze-dried,ATCC  3: Nutrient agar or nutrient broth,Temperature: 37.0Celsius,NA,NA,NA,NA,https://www.atcc.org/~/ps/27244.ashx,,,,
Neisseria gonorrhoeae (Zopf) Trevisan (ATCC 700825),$376.00 ,$319.60 ,seqeunce available,NA,FA1090,2,freeze-dried,ATCC  814: GC Agar/Broth,"Temperature: 37Celsius 
Atmosphere: 5% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Resistant to streptomycin,NA,Sexually Transmitted Disease Research,https://www.atcc.org/~/ps/700825.ashx,,,,
Borrelia burgdorferi Johnson et al. emend. Baranton et al. (ATCC 35210),$235.00 ,$199.75 ,NA,NA,B31,2,frozen,ATCC  1914: Revised BSK medium,Temperature: 37Celsius Atmosphere: Microaerophilic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Emerging infectious disease researchVector borne research,https://www.atcc.org/~/ps/35210.ashx,,,,
Pseudomonas protegens Ramette et al. (ATCC BAA-477),$376.00 ,$319.60 ,seqeunce available,Pseudomonas fluorescens Migula,Pf-5,1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 30Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,"Produces 2,4-diacetylphloroglucinolProduces hydrogen cyanideProduces pyochelinProduces pyoluteorinProduces pyoverdineProduces pyrrolnitrin",https://www.atcc.org/~/ps/BAA-477.ashx,,,,
Acholeplasma laidlawii (Sabin) Edward and Freundt (ATCC 23206),$402.00 ,$341.70 ,NA,Mycoplasma laidlawii (Sabin) Prevot,"PG8 [NCTC 10116, PG8; A]",1,freeze-dried,ATCC  243: Mycoplasma medium,"Temperature: 37Celsius 
Atmosphere: 5% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Control strainPharmaceutical and Personal Care,https://www.atcc.org/~/ps/23206.ashx,,,,
Acinetobacter baumannii (ATCC BAA-1709),$402.00 ,$341.70 ,NA,NA,SDF [CSUR P25],2,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature:  37Celsius  Atmosphere:  Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Antibiotic sensitive,NA,NA,https://www.atcc.org/~/ps/BAA-1709.ashx,,,,
Pedobacter heparinus (Payza and Korn) Stein et al. (ATCC 13125),$402.00 ,$341.70 ,seqeunce available,Flavobacterium heparinum Payza and Korn,"[IFO 12017, LMG 10339, NCIB 9290, HIM 762-3]",1,freeze-dried,ATCC  3: Nutrient agar or nutrient broth,Temperature: 30.0Celsius,NA,NA,NA,"Degrades heparinProduces chondroitin lyases chondoitinase AC IIProduces sulfoesteraseProduces sulphoglucosamine sulphamidase sulphamidaseProduces tumor suppressor LUCA-1  hyaluronidase 1,  tumor suppressor LUCA-1, hyaluronoglucosaminidase",https://www.atcc.org/~/ps/13125.ashx,,,,
Enterococcus faecalis (Andrewes and Horder) Schleifer and Kilpper-Balz (ATCC 700802),$402.00 ,$341.70 ,seqeunce available,NA,V583,2,freeze-dried,ATCC  44: Brain Heart Infusion Agar/Broth,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Resistant to gentamicins gentamicinResistant to vancomycinSensitive to daptomycinSensitive to streptomycin,NA,NA,https://www.atcc.org/~/ps/700802.ashx,,,,
Clostridium cellulovorans Sleat et al. (ATCC 35296),$376.00 ,$319.60 ,NA,NA,743B [DSM 3052],1,freeze-dried,ATCC  1345: Anaerobic cellulolytic medium,Temperature: 37.0Celsius Atmosphere: Anaerobic,NA,NA,NA,Degrades cellulose,https://www.atcc.org/~/ps/35296.ashx,,,,
Bifidobacterium dentium Scardovi and Crociani (ATCC 27678),$376.00 ,$319.60 ,NA,NA,B757,1,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood",Temperature: 37Celsius Atmosphere: Anaerobic,Frozen: -80Celsius Freeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/27678.ashx,,,,
Treponema denticola (ex Fl??gge) Chan et al. (ATCC 35405),$402.00 ,$341.70 ,seqeunce available,Treponema denticola (Brumpt) Chen,"a [CIP 103919, DSM 14222]",1,freeze-dried,"ATCC  1494: Modified NOS medium
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Produces major surface proteinProduces methyl-accepting chemotaxis proteinProduces prolyl aminopeptidase proline iminopeptidase,https://www.atcc.org/~/ps/35405.ashx,,,,
Salmonella enterica subsp. arizonae (Borman) Le Minor et al. (ATCC BAA-731D-5),$336.00 ,$336.00 ,seqeunce available,Salmonella choleraesuis subsp. arizonae (Borman) LeMinor et al.,Genomic DNA from Salmonella enterica subsp. arizonae strain RSK2980 [ATCC BAA-731],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,Enteric Research,https://www.atcc.org/~/ps/BAA-731D-5.ashx,,,,
Anaerofustis stercorihominis (ATCC BAA-858),$376.00 ,$319.60 ,NA,NA,"WAL 14563 [CCUG 47767, DSM 17244]",1,freeze-dried,ATCC  1490: Modified chopped meat medium,"Temperature:  37Celsius 
 Atmosphere: Anaerobic",NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-858.ashx,,,,
Caulobacter vibrioides Henrici and Johnson (ATCC 19089),$402.00 ,$341.70 ,seqeunce available,Caulobacter crescentus Poindexter,CB 15 [CIP 103742],1,freeze-dried,ATCC  36: Caulobacter medium,"Temperature: 30Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Bacteriophage host,https://www.atcc.org/~/ps/19089.ashx,,,,
Campylobacter jejuni subsp. jejuni (Jones et al.) Veron and Chatelain (ATCC BAA-1062),$376.00 ,$319.60 ,seqeunce available,NA,RM 1221,2,freeze-dried,"ATCC  18: Trypticase Soy Agar/Broth
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
 Atmosphere:  Microaerophilic??(3-5% O2, 10% CO2)",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Emerging infectious disease research,https://www.atcc.org/~/ps/BAA-1062.ashx,,,,
Archaeoglobus fulgidus Stetter (ATCC 49558D-5),$336.00 ,$336.00 ,seqeunce available,NA,Genomic DNA from Archeoglobus fulgidus Strain DSM 4304 [ATCC 49558],1,dried At least 5 ug in 1X TE bufferOD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,Genome sequencing strain,https://www.atcc.org/~/ps/49558D-5.ashx,,,,
Kineococcus radiotolerans Phillips et al. (ATCC BAA-149),"For-Profit:
$314.00",,seqeunce available,NA,SRS30216 [DSM 14245],1,freeze-dried,ATCC  464: Cellulomonas PTYG medium,Temperature: 30.0Celsius Atmosphere: Aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-149.ashx,,,,
Mycobacterium pinnipedii Cousins et al. (ATCC BAA-688),"$1,159.00 ",$985.15 ,NA,NA,"6482 [Au-2, NCTC 13288]",3,frozen,"ATCC  1395: Middlebrook 7H9 broth with ADC enrichment
ATCC  173: Middlebrook 7H10 agar with Middlebrook OADC enrichment",Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/en/My_Profile.aspx?sc_device=modal&streamfile=/~/ps/BAA-688.ashx&reloadafterclose=true,,,,
Mycoplasma hyopneumoniae Mare and Switzer (ATCC 25934D),"For-Profit:
$40.00",,NA,Mycoplasma suipneumoniae Goodwin et al.,Genomic DNA from Mycoplasma hyopneumoniae strain J [ATCC 25934],1,frozen Concentration: 1 ng/uLTotal DNA: 50 ng,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/25934D.ashx,,,,
Sodalis praecaptivus (ATCC BAA-2554),$550.00 ,$467.50 ,seqeunce available,Sodalis antecarcerum,NA,2,frozen,ATCC  3: Nutrient agar or nutrient broth,Temperature: 30Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,"The depositor states that this strain is ampicillin resistant; however, this has not been confirmed by our testing.",NA,NA,https://www.atcc.org/~/ps/BAA-2554.ashx,,,,
Arthrobacter aurescens Phillips (ATCC BAA-1386),"For-Profit:
$402.00",,seqeunce available,NA,TC1,1,freeze-dried,ATCC  2662: R,"Temperature: 30Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1386.ashx,,,,
Arthrobacter aurescens Phillips (ATCC BAA-1386D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Arthrobacter aurescens strain TC1 [ATCC BAA-1386],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1386D-5.ashx,,,,
Burkholderia graminis Viallard et al. (ATCC 700544),$550.00 ,$467.50 ,seqeunce available,NA,C4D1M,1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 30.0Celsius Atmosphere: Aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/700544.ashx,,,,
Burkholderia graminis Viallard et al. (ATCC 700544D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Burkholderia graminis strain C4D1M [ATCC 700544],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/700544D-5.ashx,,,,
Rhodospirillum centenum Favinger et al. (ATCC 51521),"For-Profit:
$402.00",,seqeunce available,NA,SW,1,freeze-dried,ATCC  1926: CENS medium,Temperature: 37.0Celsius Atmosphere: Anaerobic,2Celsius  to 8Celsius,NA,NA,Biotechnology,https://www.atcc.org/~/ps/51521.ashx,,,,
Ensifer meliloti (Dangeard) Young (ATCC 51124D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Ensifer meliloti strain Rm1021 [ATCC 51124],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/51124D-5.ashx,,,,
Streptobacillus moniliformis Levaditi et al. (ATCC 14647),"For-Profit:
$402.00",,seqeunce available,NA,"[9901, DSM 12112, NCTC 10651]",2,frozen,ATCC  122: Horse serum medium,"Temperature: 37Celsius 
Atmosphere: 5% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/14647.ashx,,,,
Methylobacterium extorquens (Urakami and Komagata) Bousfield and Green (ATCC 14718D-5),"For-Profit:
$376.00",,seqeunce available,NA,Genomic DNA from Methylobacterium extorquens strain NCIB 9133 [ATCC 14718],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/14718D-5.ashx,,,,
Ensifer meliloti (Dangeard) Young (ATCC 51124),"For-Profit:
$550.00",,seqeunce available,Rhizobium meliloti Dangeard,Rm1021,1,freeze-dried,ATCC  111: Rhizobium X medium,"Temperature: 26Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Streptomycin-resistant,NA,NA,https://www.atcc.org/~/ps/51124.ashx,,,,
Mycobacterium africanum Castets et al. (ATCC 25420),"$1,159.00 ",$985.15 ,NA,NA,Rist 3419 [HB 1703],3,freeze-dried,"ATCC  1395: Middlebrook 7H9 broth with ADC enrichment
ATCC  90: Lowenstein Jenson medium
ATCC  173: Middlebrook 7H10 agar with Middlebrook OADC enrichment",Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/en/My_Profile.aspx?sc_device=modal&streamfile=/~/ps/25420.ashx&reloadafterclose=true,,,,
Nocardioides sp. (ATCC BAA-499),"For-Profit:
$550.00",,seqeunce available,NA,JS614,1,freeze-dried,ATCC  2324: 1/10 TSA with glucose,Temperature: 26.0Celsius Atmosphere: Aerobic,NA,NA,NA,Degrades vinyl chloride chloroethylene,https://www.atcc.org/~/ps/BAA-499.ashx,,,,
Campylobacter fetus subsp. fetus (Smith and Taylor) Veron and Chatelain (ATCC BAA-2152),$550.00 ,$467.50 ,NA,NA,82-40,2,freeze-dried,ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood,Temperature: 37Celsius Atmosphere: Microaerophilic (3-5% O2-10% CO2),NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-2152.ashx,,,,
Alicyclobacillus acidocaldarius subsp. acidocaldarius (Darland and Brock) Wisotzkey et al. (ATCC 27009),,,NA,Bacillus acidocaldarius Darland and Brock,"104-1A [CCRC 14685, CCUG 28521, CIP 106131, DSM 446, HAMBI 2071, HAMBI 2073, IFO 15652, JCM 5260, KCTC 1825, LMG 7119, NCCB 89167, NCIMB 11725, NRRL B-14509]",1,freeze-dried,ATCC  573: Bacillus medium,Temperature: 55.0Celsius,NA,NA,NA,Produces restriction endonuclease BacIBiotechnology,https://www.atcc.org/~/ps/27009.ashx,,,,
Nakamurella multipartita (Yoshimi et al. 1996) Tao et al. 2004 (ATCC 700099),"For-Profit:
$550.00",,seqeunce available,Microsphaera multipartita Yoshimi et al.,"JCM 9543 [FERM P-14709, Y-104, CIP 104796, DSM 44233]",1,freeze-dried,ATCC  2024: R medium,Temperature: 26.0Celsius Atmosphere: Aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/700099.ashx,,,,
Kosmotoga olearia (ATCC BAA-1733),"For-Profit:
$402.00",,NA,NA,19.5.1,1,freeze-dried,NA,Temperature: 65Celsius Atmosphere: Anaerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1733.ashx,,,,
Salinispora tropica (ATCC BAA-916),$550.00 ,$467.50 ,seqeunce available,Salinospora tropicalis,CNB440,1,freeze-dried,ATCC  2464:,Temperature: 25.0Celsius Atmosphere: Aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-916.ashx,,,,
Salmonella enterica subsp. enterica (ex Kauffmann and Edwards) Le Minor and Popoff serovar Sendai (ATCC BAA-1672D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Salmonella enterica subsp. enterica serovar Sendai strain MZ1468 [ATCC BAA-1672],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1672D-5.ashx,,,,
Elusimicrobium minutum Geissinger et al. (ATCC BAA-1559),$550.00 ,$467.50 ,NA,NA,Pei191 [JCM 14958],1,frozen,ATCC  2752: Elusimicrobium minutum,"Temperature: 26Celsius 
Atmosphere: Anaerobic",NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1559.ashx,,,,
Sulfurospirillum deleyianum Schumacher et al. (ATCC 51133),"For-Profit:
$550.00",,seqeunce available,NA,Spirillum 5175 [DSM 6946],1,freeze-dried,ATCC  1842: Sulfurospirillum medium,Temperature: 30.0Celsius Atmosphere: Anaerobic,NA,NA,NA,Reduces sulfur,https://www.atcc.org/~/ps/51133.ashx,,,,
Caldicellulosiruptor saccharolyticus Rainey et al. (ATCC 43494),$550.00 ,$467.50 ,NA,Caldocellum saccharolyticum,Tp8T.6331 [DSM 8903],1,frozen,ATCC  1368: Clostridium Cellulolytic medium,"Temperature: 70Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Biotechnology,https://www.atcc.org/~/ps/43494.ashx,,,,
Roseobacter denitrificans Shiba (ATCC 33942),"For-Profit:
$550.00",,seqeunce available,NA,OCh 114,1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,Temperature: 26.0Celsius,NA,NA,NA,NA,https://www.atcc.org/~/ps/33942.ashx,,,,
Anaeromyxobacter dehalogenans Sanford et al. (ATCC BAA-258),"For-Profit:
$402.00",,NA,NA,2CP-1 [DSM 21875],1,frozen,ATCC  2282: R2A Modified for Anaeromyxobacter,"Temperature: 30Celsius 
Atmosphere: Anaerobic gas mixture;??80% N2-20% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Reduces 2-chlorophenol,https://www.atcc.org/~/ps/BAA-258.ashx,,,,
Lachnoclostridium phytofermentans Yutin et al. (ATCC 700394),$605.00 ,$514.25 ,seqeunce available,Clostridium phytofermentans Warnick et al.,ISDg,1,freeze-dried,"ATCC  1015: Chopped meat carbohydrate medium (ATCC  593) with 0.1% cellobiose, 0.1% maltose and 0.1% starch",Temperature: 30.0Celsius Atmosphere: Anaerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/700394.ashx,,,,
Neisseria gonorrhoeae (Zopf) Trevisan (ATCC 53423D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Neisseria gonorrhoeae [ATCC 53423],1,frozen At least 5 ug in 1X TE buffer,NA,NA,-20Celsius  or colder,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays.",https://www.atcc.org/~/ps/53423D-5.ashx,,,,
